chunk_hash,n_lines,risk_score_logged_mean,risk_score_logged_std,model_score_mean,model_score_std,pred_bot_frac
beade5f1802c12c4a917825daa8bc7602e5a152675cfcc1c60643bf1e2104017,4,0.38448150000000003,0.012280817575932532,0.3723020090475223,9.064933036736789e-17,0.0
c0ed4814946309739265f81149aa646ad593c1d1564770f32f65da7fbb4fd947,12,0.025689666666666666,0.004891822180172154,0.08083275617498382,1.5656256147571663e-17,0.0
c20b7cadcfe37572bc24369191cfbef2a809a4938361d942d4f26335ba63413c,12,0.056451916666666664,0.03193021069161001,0.06864463148321372,1.1070644889941494e-17,0.0
c21a2fe75c7d2d63bf2c1fb46c3a9972e12cbd772c47a6db398a9717f3fa0b7b,4,0.264964,0.023704847352387634,0.17805134509415704,2.7755575615628914e-17,0.0
c2afedcb2ff8b397107eebb48c7373f58566d0e8ca303e2b08f72f3499331484,4,0.0255975,0.01457751694676886,0.09240942331779606,1.1331166295920986e-17,0.0
c32b3671754f744b2b609d4f17d40765fc5bb9d779017ea0bde3a1134ebb653d,4,0.026001,0.012023896706143147,0.11316489461489326,0.0,0.0
c3623329ea4ab7548a701443084fdceb4c03114b234c8da09eceb0eb82308aaf,16,0.0430085,0.024052259375507045,0.06019030799282353,1.0749688212373146e-17,0.0
c4c824bce0b274c2e0f135814ce195cea26a7810911bcc68895a8688ada98c62,16,0.0336905,0.016976577000875844,0.05321208043693089,8.958073510310954e-18,0.0
c586f13f469a8bf7c3faa398882c7bae4b6aa69a0780f06a1eae790448d2153f,16,0.037936,0.02934791860422132,0.08931199501036774,1.827095665330967e-17,0.0
c83aecef67b169c84506ea9e12c6bec3e5317e403d1887a597542aeffd746980,4,0.14470349999999998,0.013407805301390697,0.15845413268061387,2.7755575615628914e-17,0.0
caf9360059d95d480e063ff11723b4916ef99f2af4bd48d4d7f9eb528ab329a6,16,0.0204425,0.007936517473048238,0.08459356340768147,1.3407216768447581e-17,0.0
cd8bce1a88e8f060fa395ce5949f54e36011b3287635f730065986d3e9b49f6d,4,0.0217095,0.008268233205064632,0.11660347048963246,1.1331166295920986e-17,0.0
ce055cd398a5651a822e5aacc3ed380c8bb8802bc982a1ad4b44849b41d73377,16,0.0529935,0.04492195923599059,0.09483831755681377,1.6024689053196365e-17,0.0
d05e66975697eff1be999aaf7f92eb2a23a486169f0f98e1339b9ccd55ae7313,4,0.3521485,0.03767730121704578,0.4016228768432546,7.850462293418876e-17,0.0
d0a0a29da1b09a2e501ff9deff2f6177c5538a26f61da0f320daadb337590dfd,16,0.055059,0.03647730634791994,0.10712847720471513,1.642041997679149e-17,0.0
d0a605ff1eccdee65f0890ec1b6cbcc25be2665466751b720897856b00e63f33,12,0.03854075,0.02121454547378027,0.06852347144684943,1.4494876628609418e-17,0.0
d3626b1ebafd7fff8b26ef36aa555c1f3d66477aededec571629ffa4d45d9c40,4,0.41349349999999996,0.014985126236816729,0.3727043612942643,5.551115123125783e-17,0.0
d47495fc5435b3515b5e983bd6ebaddf1b9682e950fdb0847ac32e1513eade55,16,0.07584099999999999,0.011314275348720601,0.16434506360172182,1.8960667787614548e-17,0.0
d532bb2c354e51944832ad0a2012426a9e04d28fe1486cedbba834cb63e3b173,4,0.431751,0.01643023396059836,0.3685645765107191,9.614813431917819e-17,0.0
d8009ccc880139bc279224022153a463033bd01e01127baa197d75eb3e8ff38a,4,0.025700499999999998,0.018685941462322237,0.09763127175161165,8.012344526598183e-18,0.0
d992d2a0051ee2e3f2968fc5322e4883c81f93f16fb24f85e99b0f02239d1b85,4,0.024661,0.013134718624063986,0.09272659817638844,1.3877787807814457e-17,0.0
d9a3f71c032c77d12baf6daa2e171a9b491ba73c7ce7f33f0d0cad587fa1b279,4,0.0380905,0.012749625994514506,0.12323050193306966,3.3993498887762956e-17,0.0
da35e48e81e1c3b444076f934a7f6f7d20b057b104b78482cd69ea5b249ca9e6,4,0.0683605,0.013697635136523875,0.1328041717256555,2.2662332591841973e-17,0.0
da6ae0c3c2d0ef7cff59f1d35dd9a2e6579a87c909c4fc307af141b1e366bfed,4,0.430484,0.016866710764105727,0.38703769993919596,5.551115123125783e-17,0.0
e1074e5bac31cc965c41530657fdf78bd2a3e66cdffb383b80e0d6c4fab7d524,12,0.028841583333333334,0.016060109681830453,0.051354822547936,4.1843104616990316e-18,0.0
e306bd7b5ce40515aead92f5b876f21b873b6775db0120cd50de3124e6b9301e,12,0.035937333333333335,0.016679568848435408,0.07194891769148402,1.3877787807814457e-17,0.0
e3a18dcbccbf72c8ea6993f7970dc7512bf30a1a7d478b046ef2a19c675aed98,4,0.0281945,0.01614098147573437,0.11738010161040902,2.119867103594834e-17,0.0
e5527bacbfd312dd2ba4fe687956e63e6b90c3e690246dd3d02c5fe83745466a,4,0.037563,0.007130275824491878,0.08331284576880367,1.1331166295920986e-17,0.0
e6080c27f859506f91731c326e40dd43b469ee2fd1d92c579c53bbcec68a06ed,12,0.038261916666666666,0.024088877201119317,0.08937395858897236,2.0498851113104244e-17,0.0
